Comm_Method1,Send_Method1,Comm_Method2,Send_Method2,128_128_128,128_128_256,128_256_256,256_256_256,256_256_512,256_512_512,512_512_512,512_512_1024,512_1024_1024
All2All,Sync,Peer2Peer,Streams,44.77430375000001,88.00504099999998,183.74503249999995,384.66828499999997,904.4475500000002,1719.9512249999998,3417.8571250000005,6968.677425000001,14106.536374999998
All2All,Sync,Peer2Peer,Streams,9.156399619487058,63.89997358259495,369.2186656611804,1992.9113960732575,27068.56475770581,7437.3906323857345,50895.90513060287,503852.5947989211,573665.925828709
All2All,Sync,Peer2Peer,MPI_Type,38.66540800000001,76.62216399999996,152.2632775,303.58043000000004,604.7078775,1210.650825,2417.8611000000014,5013.679749999999,9811.182850000001
All2All,Sync,Peer2Peer,MPI_Type,0.0024702928267676515,3.8516087202818157,1.7602892460795443,0.4421766528787861,1.3391190410290448,1.3407906635100992,7.52729612626272,424738.44461294205,596377.117059725
All2All,Sync,All2All,Sync,38.946292750000005,76.6292465,152.94469999999998,305.38982499999986,608.2655775,1377.6613250000003,2433.792375000001,4852.461225000003,9991.185225000001
All2All,Sync,All2All,Sync,0.8551627162032199,0.10464928872499994,0.2788678876262619,0.545900399621211,1.4337115261300457,134473.61135245653,7.290643607954697,3.4688908453282505,2230638.6701463507
All2All,Sync,All2All,MPI_Type,39.027205250000016,76.72602550000002,153.47663250000002,306.3876624999998,612.1595675000004,1221.7191,2570.7562749999997,5022.485774999998,9927.748575
All2All,Sync,All2All,MPI_Type,0.42212398953655356,0.008275004684090762,0.27973250183712195,0.6172050686553007,1.6443326475441833,2.604193752525207,135675.63378326962,374964.8528008454,835497.6599929619
All2All,MPI_Type,Peer2Peer,Sync,38.61895325,76.15050199999999,151.90670249999997,303.72759499999984,604.3791799999998,1209.8937500000004,2413.40345,5041.660950000001,10094.694724999994
All2All,MPI_Type,Peer2Peer,Sync,0.3045827763719063,0.054669864730808086,0.25760873067550427,0.9138186613383819,1.667594963484852,1.748615088383846,7.453839366161712,917660.5792774976,3601575.8241020073
All2All,MPI_Type,Peer2Peer,Streams,43.91750449999998,88.80972874999999,179.610845,391.37906499999997,827.8167375000002,1852.3416000000007,3672.7979000000014,7039.2496249999995,14312.881500000001
All2All,MPI_Type,Peer2Peer,Streams,11.497968266873485,92.85999849436082,592.9878456285103,1872.0629640538132,5464.746858756788,54285.284212691906,328698.22660476255,368367.0220878,777336.8271290404
All2All,MPI_Type,Peer2Peer,MPI_Type,38.7524835,76.47287625000001,152.55504999999997,304.78196499999996,607.2787849999999,1215.7397250000001,2603.2713750000007,5186.8103249999995,9844.73485
All2All,MPI_Type,Peer2Peer,MPI_Type,0.004970007742676786,0.018046252719381106,0.20088225505050386,0.6907212323484815,2.0270551692171606,1.651763875631283,202266.98370383534,654115.073279502,549721.3404272503
All2All,MPI_Type,All2All,Sync,39.01138575000001,76.78591225000001,153.38667499999997,306.5706350000001,610.6705900000001,1222.1849499999996,2683.4245500000015,4866.85515,10014.192799999995
All2All,MPI_Type,All2All,Sync,0.36464230307140105,0.01858496764513883,0.32283360290404167,0.7361355573484779,1.6465172683333071,1.5702703257575819,509183.4868461339,5.4040801540402486,2284553.1194411973
All2All,MPI_Type,All2All,MPI_Type,39.231765,76.9625575,153.79461000000003,307.64987499999984,614.903705,1226.028975,2558.2889,4881.0932250000005,9934.765
All2All,MPI_Type,All2All,MPI_Type,1.4129172258585856,0.040069303756312964,0.22169978449495045,0.8438703125000041,2.621454006792927,4.22203650189398,113942.80189461114,6.470268345328269,573829.0522281564
