Peer2Peer,Sync
,64_64_64,64_64_128,64_128_128,128_128_128,128_128_256,128_256_256,256_256_256
init,270.7020000000001,173.90275000000008,176.53724999999991,223.09450000000007,196.69225000000003,345.12475,248.19675
2D FFT (Sync),0.12780617500000002,0.1470847375,0.07028265,0.21499672500000006,0.22322816250000002,0.182129275,0.24264221249999998
2D FFT Y-Z-Direction,0.625661225,0.6895955375,0.9764522875000001,2.2408756124999996,6.676587875000001,13.444437374999998,21.199308750000004
Transpose (First Send),0.7766561875,1.0924458375000001,1.5258319,3.1882186249999998,8.78899825,18.554844999999997,29.297829999999998
Transpose (Packing),0.769525575,0.8729398499999999,1.5167387374999999,3.1777814999999996,8.772986125,18.532521249999995,29.269891249999993
Transpose (Start Local Transpose),0.8260899875,1.1239141375,1.54679045,3.2113405,8.82394075,18.59322625,29.33531375
Transpose (Start Receive),0.8441830375,1.1419341749999998,1.5671208,3.23550125,8.86206775,18.6454875,29.391803749999998
Transpose (First Receive),1.3279284625,1.6154156500000003,2.921307874999999,5.898223624999999,15.5563425,30.7942325,51.451575000000005
Transpose (Finished Receive),5.435149987499999,5.322495375,6.992343624999999,11.996233125000002,23.10368625,41.117430000000006,72.83738374999999
Transpose (Unpacking),5.5250756124999985,5.449581875000001,7.226526875000002,12.453145500000002,24.206008750000002,43.33184250000001,76.6810275
1D FFT X-Direction,5.902521875000001,5.696245875000001,7.593859500000001,13.25295125,25.231489999999997,46.15446125,80.9747525
Run complete,5.916032374999999,5.703378,7.605636374999999,13.264304124999999,25.24250375,46.163841250000004,80.98556874999998

All2All,Sync
,64_64_64,64_64_128,64_128_128,128_128_128,128_128_256,128_256_256,256_256_256
init,213.8897499999999,182.42099999999994,196.66474999999997,195.18150000000006,180.3705,210.99274999999994,246.35999999999999
2D FFT (Sync),0.051022275000000006,0.04845604999999999,0.07735244999999999,0.12126241249999996,0.3568157125,0.45288527499999987,0.15545746249999998
2D FFT Y-Z-Direction,0.58028505,0.77591215,1.1015577125,2.950857725,5.24513475,11.263112500000002,24.411860000000004
Transpose (Packing),0.711323575,0.9706217125000002,1.5762129499999997,3.839369625,7.334021374999999,15.6135265,34.59881750000001
Transpose (Start All2All),0.714036575,0.9733529749999998,1.5790728625000003,3.8425172499999993,7.3383731249999995,15.618765375000004,34.60554875000001
Transpose (Finished All2All),5.892573112499998,4.166989875,7.722527124999997,14.76626825,20.308912500000005,37.98163875,81.06661625000001
Transpose (Unpacking),6.092268112500001,4.579408750000001,8.671376874999998,16.539004375,23.52406999999999,44.539488750000004,93.48882875000001
1D FFT X-Direction,6.2950951250000005,4.870389375,9.080083,17.102208,24.644166249999994,46.169158749999994,96.71844625
Run complete,6.297557749999999,4.872998375,9.082682125000002,17.104765375,24.647435,46.17186374999999,96.7240125

All2All,MPI_Type
,64_64_64,64_64_128,64_128_128,128_128_128,128_128_256,128_256_256,256_256_256
init,178.72074999999998,176.28425000000004,176.806,191.83624999999995,200.16725,211.9834999999999,244.19424999999993
2D FFT (Sync),0.06764279999999999,0.15438701250000003,0.3931834875,0.09226821249999999,0.5406680625,0.0696229875,0.23670922499999997
2D FFT Y-Z-Direction,0.547979225,0.7352349750000002,1.2178219250000002,2.0847604000000004,4.925100499999999,13.909270625,23.516437500000002
Transpose (Packing),0.6678664624999999,0.9855559250000001,1.6066866999999998,3.0328484999999996,6.879966999999999,19.52788625,32.418862499999996
Transpose (Start All2All),0.6707199874999998,0.9883423124999998,1.6103892374999997,3.036582,6.884424750000001,19.53434125,32.42548875
Transpose (Finished All2All),4.415045987499999,4.500903374999999,6.749786500000001,12.342543625,19.744857875,42.44490624999999,81.99406375
